survey_id,customer_id,agent_id,interaction_date,channel,csat_score,resolved_first_contact
SUR-0001,CUST-0001,AG-001,2026-01-15,Branch,4,Yes
SUR-0002,CUST-0001,AG-013,2026-01-13,Phone,5,Yes
SUR-0003,CUST-0002,AG-002,2026-02-01,Online,4,Yes
SUR-0004,CUST-0003,AG-003,2026-01-22,Branch,3,No
SUR-0005,CUST-0003,AG-014,2026-01-24,Phone,4,Yes
SUR-0006,CUST-0004,AG-004,2026-02-05,Branch,2,No
SUR-0007,CUST-0004,AG-015,2026-02-08,Phone,3,No
SUR-0008,CUST-0005,AG-005,2026-03-01,Mobile App,5,Yes
SUR-0009,CUST-0006,AG-006,2026-02-12,Branch,4,Yes
SUR-0010,CUST-0006,AG-016,2026-02-14,Phone,2,No
SUR-0011,CUST-0007,AG-007,2026-02-20,Online,3,Yes
SUR-0012,CUST-0008,AG-008,2026-03-10,Branch,4,Yes
SUR-0013,CUST-0009,AG-009,2026-03-03,Mobile App,5,Yes
SUR-0014,CUST-0009,AG-014,2026-03-05,Phone,3,No
SUR-0015,CUST-0010,AG-010,2026-03-10,Branch,4,Yes
SUR-0016,CUST-0010,AG-015,2026-03-12,Phone,4,Yes
SUR-0017,CUST-0011,AG-011,2026-04-01,Online,5,Yes
SUR-0018,CUST-0012,AG-012,2026-03-18,Branch,2,No
SUR-0019,CUST-0012,AG-016,2026-03-20,Phone,3,No
SUR-0020,CUST-0013,AG-001,2026-03-25,Branch,5,Yes
SUR-0021,CUST-0014,AG-002,2026-04-05,Mobile App,4,Yes
SUR-0022,CUST-0015,AG-003,2026-04-14,Branch,3,No
SUR-0023,CUST-0016,AG-004,2026-04-22,Online,5,Yes
SUR-0024,CUST-0017,AG-005,2026-04-30,Branch,2,No
SUR-0025,CUST-0018,AG-006,2026-05-08,Mobile App,4,Yes
SUR-0026,CUST-0019,AG-007,2026-05-16,Branch,3,No
SUR-0027,CUST-0020,AG-008,2026-05-24,Online,4,Yes
SUR-0028,CUST-0021,AG-009,2026-06-01,Branch,5,Yes
SUR-0029,CUST-0022,AG-010,2026-06-09,Mobile App,2,No
SUR-0030,CUST-0023,AG-011,2026-06-17,Branch,4,Yes
